,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,logo,course_organization_img,course_title_img
0,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5.3k,,https://wearetechwomen.com/wp-content/uploads/2018/09/ISC%C2%B2_logo_vectorized.svg-1024x486.png,https://www.tech-act.com/wp-content/uploads/social_media/twitter/Cyber%20Security/sscp.jpg
1,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://i3k5j8j4.rocketcdn.me/wp-content/uploads/2020/08/426-scaled.jpg
2,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130k,,https://www.datasciencedegreeprograms.net/wp-content/uploads/2018/02/johns-hopkins-university.png,https://i.pinimg.com/originals/46/c2/85/46c2858bb4b7fd8848d411cf527eaabb.jpg
3,A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91k,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Yale_University_Shield_1.svg/1200px-Yale_University_Shield_1.svg.png,https://legalbots.in/uploads/blog/blog_images/cover_page_(2).jpg
4,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320k,,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/cd/3616606efe11e4aa94b513cb1870b0/Square-logo-360-360.png?auto=format%2Ccompress&dpr=1&w=180&h=180,http://1.bp.blogspot.com/-uKQ1HcFS4ds/VdF5KRlkjOI/AAAAAAAAuUs/WPc2yXYln4Y/s640/Life_of_happiness.png
5,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39k,,http://media.bizj.us/view/img/2690091/suny-ub-logo*1200xx1200-675-0-63.jpg,https://i.pinimg.com/originals/96/7b/e9/967be9acbaaac77ee0577d194189bda2.jpg
6,AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350k,,https://venturebeat.com/wp-content/uploads/2017/06/ddbrg0vuwaelmop.jpg?fit=930%2C590&strip=all,https://vtc.edu.vn/wp-content/uploads/2021/04/AI-for-everyone.jpeg
7,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2.4k,,https://venturebeat.com/wp-content/uploads/2017/06/ddbrg0vuwaelmop.jpg?fit=930%2C590&strip=all,https://www.capestart.com/wp-content/uploads/2020/09/1-1-scaled.jpg
8,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61k,,https://purepng.com/public/uploads/large/purepng.com-ibm-logologobrand-logoiconslogos-251519939176ka7y8.png,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~ai-foundations-for-everyone/XDP~SPECIALIZATION!~ai-foundations-for-everyone.jpeg
9,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12k,,https://venturebeat.com/wp-content/uploads/2017/06/ddbrg0vuwaelmop.jpg?fit=930%2C590&strip=all,https://www.theagilityeffect.com/app/uploads/2019/04/00_VINCI-ICONOGRAPHIE_GettyImages-605372223-1280x680.jpg
10,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4k,,https://venturebeat.com/wp-content/uploads/2017/06/ddbrg0vuwaelmop.jpg?fit=930%2C590&strip=all,https://www.theagilityeffect.com/app/uploads/2019/04/00_VINCI-ICONOGRAPHIE_GettyImages-605372223-1280x680.jpg
11,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13k,,https://venturebeat.com/wp-content/uploads/2017/06/ddbrg0vuwaelmop.jpg?fit=930%2C590&strip=all,https://compliancenavigator.bsigroup.com/globalassets/ai-in-medicine.jpg
12,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130k,,https://www.ercom.fr/wp-content/uploads/2018/07/2000px-Amazon_Web_Services_Logo.svg_.png,https://theskfeed.com/wp-content/uploads/2020/07/fundamentals-of-aws.jpg
13,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11k,,https://www.ercom.fr/wp-content/uploads/2018/07/2000px-Amazon_Web_Services_Logo.svg_.png,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~aws-fundamentals-addressing-security-risk/XDP~COURSE!~aws-fundamentals-addressing-security-risk.jpeg
14,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27k,,https://www.ercom.fr/wp-content/uploads/2018/07/2000px-Amazon_Web_Services_Logo.svg_.png,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~aws-fundamentals-building-serverless-applications/XDP~COURSE!~aws-fundamentals-building-serverless-applications.jpeg
